model,params,learning_rate,weight_decay,best_epoch,best_val,best_train_at_best,duration_sec,status
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.001,0.0,6,0.8300099149346352,0.7797667354345321,7.876009700004943,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.001,0.0,4,0.834705226123333,0.7837675988674164,4.10628939999151,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.001,0.0,6,0.8388658165931702,0.7741513162851333,4.86257850000402,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.001,0.0,2,0.841044507920742,0.7974293559789658,4.092298499977915,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.001,0.0,4,0.8408508226275444,0.7817203968763351,4.686750699998811,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.001,0.0001,8,0.8231854811310768,0.7839745908975602,5.113928000006126,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.001,0.0001,6,0.8329358473420143,0.7799431115388871,4.487880600005155,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.001,0.0001,4,0.8406068906188011,0.7826539486646652,4.558760300016729,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.001,0.0001,2,0.8338871747255325,0.7911120444536209,4.066036600008374,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.001,0.0001,2,0.8434844315052032,0.8108812391757965,4.341579600004479,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.0005,0.0,18,0.8308700025081635,0.7760051101446152,6.478344900009688,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.0005,0.0,10,0.8259058147668839,0.7797549664974213,4.735578499996336,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.0005,0.0,8,0.829217717051506,0.7759003579616547,4.785441500018351,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.0005,0.0,6,0.8338688760995865,0.7759379565715789,4.425530899985461,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.0005,0.0,8,0.8394132554531097,0.7766410708427429,4.999113700003363,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.0005,0.0001,18,0.8218584954738617,0.7784017443656921,6.237787999998545,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.0005,0.0001,8,0.8372092470526695,0.7837457537651062,4.513483599992469,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.0005,0.0001,8,0.8330135196447372,0.7797662585973739,4.842340099974535,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.0005,0.0001,6,0.8342663124203682,0.7748542726039886,4.413983500009636,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.0005,0.0001,8,0.8370896130800247,0.7769211620092392,5.024994500010507,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0,28,0.8198880925774574,0.7848653435707093,9.942596000008052,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0,46,0.8224696442484856,0.7867386609315872,14.080693900003098,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0,30,0.8262459710240364,0.7900705248117447,10.653820500010625,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0,30,0.8221322745084763,0.7889896780252457,11.044147400010845,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0,40,0.8274988234043121,0.786199539899826,12.65170550000039,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0,50,0.8213306814432144,0.7867880672216415,15.410256299976028,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0,30,0.8192624822258949,0.7841717839241028,9.765327400004026,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0,32,0.8229693099856377,0.788852870464325,10.63746870000614,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0,28,0.8198092728853226,0.7846790909767151,9.805501199996796,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0,64,0.8217089995741844,0.7856980115175247,17.849844000011217,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0,20,0.8210385739803314,0.7875816196203231,8.095258999994257,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0,48,0.8221649751067162,0.7883659094572067,14.388334199989911,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0,56,0.827610082924366,0.7839849591255188,16.32727850001538,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0,40,0.8226179108023643,0.7879180759191513,13.410628599987833,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0,20,0.8184531405568123,0.7869024246931076,9.170526300003983,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0,22,0.8233731836080551,0.7902823388576508,9.757067099999404,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0,18,0.8200046941637993,0.7874844342470169,8.212892500014277,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0,32,0.8245085403323174,0.789462473988533,11.355210399982752,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,18,0.8217739313840866,0.7882625132799148,6.940099400002509,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,24,0.8208107650279999,0.7890471875667572,8.25305619998835,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,16,0.8218130841851234,0.7886607259511947,7.574609200004488,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,60,0.8211787417531013,0.787274432182312,17.674355600000126,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,44,0.8276381567120552,0.7850359112024308,13.64562450000085,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,30,0.8238653019070625,0.7897359132766724,11.10020610000356,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,40,0.8192040398716927,0.783804115653038,11.69176270000753,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,52,0.8203746303915977,0.786895552277565,14.551897999976063,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,30,0.8188813924789429,0.7845403015613556,10.18739799998002,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,44,0.8204820603132248,0.7879336893558502,13.650403699983144,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,22,0.8216437473893166,0.7862980902194977,8.767868299997644,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,30,0.8233591765165329,0.7896027475595474,10.541493300028378,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,12,0.8199784681200981,0.7906628847122192,7.0327976999979,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,32,0.8232019916176796,0.7893203437328339,11.827499700011684,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,14,0.8182690665125847,0.7886975526809692,7.725221700005932,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,54,0.8222482949495316,0.7873781532049179,17.55700039997464,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,16,0.8178142532706261,0.788311704993248,8.355370200006291,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,40,0.8228562697768211,0.788317808508873,14.279214100009996,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.0005,0.0,66,0.8265720307826996,0.7840199083089828,17.209995800018078,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.0005,0.0,66,0.8195783570408821,0.7869441360235214,18.082326700008707,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.0005,0.0,56,0.826202817261219,0.7850254088640213,16.102994199987734,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.0005,0.0,88,0.8192015513777733,0.7864512503147125,23.72194869999657,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.0005,0.0,66,0.825531966984272,0.7837779849767685,18.572866200003773,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.0005,0.0,46,0.8210157006978989,0.7877948731184006,14.637870900012786,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.0005,0.0,12,0.8306168168783188,0.7980858445167541,6.1011807000031695,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.0005,0.0,54,0.8232686519622803,0.787146982550621,14.823921000002883,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.0005,0.0,60,0.8287408202886581,0.7864741116762162,16.35266479998245,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.0005,0.0,60,0.8203300312161446,0.7876939356327057,16.958679200004553,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.0005,0.0,64,0.8271669968962669,0.7839601337909698,17.351203400001395,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.0005,0.0,80,0.8212059363722801,0.7872795939445496,21.22499550000066,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.0005,0.0,60,0.8258057534694672,0.7847709447145462,17.320061400008854,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.0005,0.0,44,0.8195595294237137,0.7873940765857697,14.363173999998253,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.0005,0.0,40,0.8250728771090508,0.7868533730506897,13.659687200008191,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.0005,0.0,66,0.8184247091412544,0.78652223944664,20.31343339997693,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.0005,0.0,42,0.82699766010046,0.7869576454162598,14.196849500003736,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.0005,0.0,48,0.8212365955114365,0.7887613445520401,16.048882000002777,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.0005,0.0001,42,0.8314050436019897,0.7882881879806518,12.430530799989356,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.0005,0.0001,42,0.819079801440239,0.7874735921621323,13.057333300006576,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.0005,0.0001,82,0.8260829970240593,0.7846124559640885,21.569928799988705,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.0005,0.0001,66,0.8176989406347275,0.7864044725894928,18.829759999993257,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.0005,0.0001,60,0.8280863985419273,0.7842395275831222,16.991966400004458,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.0005,0.0001,60,0.8226176276803017,0.7861542224884033,17.54437649997999,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.0005,0.0001,60,0.8256356120109558,0.784558168053627,15.309869400021851,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.0005,0.0001,58,0.8198394477367401,0.7868730306625367,15.580263500014553,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.0005,0.0001,42,0.8268138244748116,0.7882853925228119,12.543327299994417,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.0005,0.0001,84,0.8178675398230553,0.7858920723199845,21.901791499985848,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.0005,0.0001,54,0.8277670815587044,0.786153894662857,15.043647100013914,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.0005,0.0001,64,0.820762112736702,0.7862462550401688,17.783707700000377,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.0005,0.0001,52,0.8270067200064659,0.785680639743805,15.666407299984712,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.0005,0.0001,46,0.8213506042957306,0.7868643432855607,15.078674899996258,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.0005,0.0001,38,0.8257848396897316,0.7869043111801147,13.331611900008284,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.0005,0.0001,60,0.8190890401601791,0.7870396435260772,18.93486439998378,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.0005,0.0001,38,0.8282861262559891,0.7877755790948868,13.39965220002341,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.0005,0.0001,60,0.8212869018316269,0.7871634125709533,18.974709100002656,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 64, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0,20,0.4958002045750618,0.4948766320943832,21.07194160000654,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 128, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0,14,0.4984848983585834,0.4924371808767319,19.72480409999844,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0,34,0.4986169636249542,0.4919685751199722,29.0841245999909,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [128, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0,48,0.4996576346457004,0.4823941931128502,37.82837660002406,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0,24,0.4966827444732189,0.4935488134622574,25.927676899998914,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 64, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0001,20,0.4960718601942062,0.4907008826732635,20.89578999998048,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 128, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0001,6,0.498003002256155,0.5002018138766289,16.232718500017654,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0001,50,0.4961115829646587,0.4899390831589699,35.98883069999283,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [128, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0001,36,0.4957156479358673,0.4893623203039169,31.71204139996553,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.001,0.0001,32,0.4971240349113941,0.4838525727391243,29.41335390001768,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 64, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0,26,0.4976624585688114,0.4902271062135696,23.207000700000208,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 128, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0,30,0.4984436444938183,0.4826694458723068,26.55150709999725,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0,16,0.4968036003410816,0.495299331843853,20.89215009997133,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [128, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0,22,0.498283002525568,0.4855574280023574,24.908679599990137,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0,70,0.4957655742764473,0.4857978105545044,47.97166909999214,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 64, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0001,42,0.4948987737298012,0.4960026189684868,30.473245900007896,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 128, 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0001,30,0.4967756941914558,0.4925780832767487,27.029177099990196,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0001,14,0.4990037605166435,0.4874258324503898,19.761185400013343,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [128, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0001,8,0.4993286617100239,0.49474688321352,18.2732881999691,ok
engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': [64, 64, 64], 'mlp_sigma': 1.0, 'mlp_noise_dim': 100}",0.0005,0.0001,46,0.4964737221598625,0.4843220844864845,36.486116599990055,ok
h_engression,"{'input_dim': 20, 'output_dim': 1, 'mlp_hidden_dim': 64, 'mlp_noise_dim': 100, 'mlp_noise_representation': 'scalar'}",0.001,0.0,38,0.4991117268800735,0.4866474509239197,29.93235319998348,ok
